"","0","1","2","3","4","5"
"TRAV2_TRAJ40",0,1,0,0,0,1
"TRAV2_TRAJ42",0,0,0,0,1,0
"TRAV2_TRAJ44",0,0,1,0,0,0
"TRAV2_TRAJ6",1,0,0,0,0,0
"TRAV2_TRAJ9",2,0,0,0,0,0
"TRAV20_TRAJ10",0,1,0,1,1,0
"TRAV20_TRAJ12",0,0,0,0,1,0
"TRAV20_TRAJ13",0,0,0,0,2,0
"TRAV20_TRAJ15",1,0,1,0,0,0
"TRAV20_TRAJ18",1,0,0,0,0,0
"TRAV20_TRAJ20",0,0,0,0,1,0
"TRAV20_TRAJ26",0,1,0,0,3,0
"TRAV20_TRAJ3",0,1,0,0,0,0
"TRAV20_TRAJ32",0,2,0,0,0,0
"TRAV20_TRAJ33",0,2,0,0,0,0
"TRAV20_TRAJ34",0,0,0,0,1,0
"TRAV20_TRAJ36",0,0,0,0,2,0
"TRAV20_TRAJ39",0,5,0,0,1,0
"TRAV20_TRAJ40",0,0,0,0,2,3
"TRAV20_TRAJ49",0,0,0,0,1,0
"TRAV20_TRAJ53",0,0,0,0,0,1
"TRAV20_TRAJ56",0,3,0,0,1,0
"TRAV20_TRAJ57",0,0,0,0,2,0
"TRAV21_TRAJ10",0,0,0,0,1,0
"TRAV21_TRAJ11",0,0,2,1,0,0
"TRAV21_TRAJ12",1,0,1,0,1,0
"TRAV21_TRAJ13",4,82,4,1,0,2
"TRAV21_TRAJ15",0,16,0,0,0,0
"TRAV21_TRAJ17",1,6,0,0,1,0
"TRAV21_TRAJ18",0,2,0,0,0,0
"TRAV21_TRAJ20",0,0,1,1,7,3
"TRAV21_TRAJ24",0,0,0,0,1,1
"TRAV21_TRAJ26",1,0,3,0,1,1
"TRAV21_TRAJ28",0,0,1,0,3,0
"TRAV21_TRAJ3",1,0,0,1,0,0
"TRAV21_TRAJ30",0,0,0,0,1,0
"TRAV21_TRAJ31",0,1,0,0,0,0
"TRAV21_TRAJ32",0,0,0,0,1,0
"TRAV21_TRAJ33",0,1,0,0,0,2
"TRAV21_TRAJ34",0,1,2,0,0,0
"TRAV21_TRAJ35",0,0,2,0,0,0
"TRAV21_TRAJ36",0,0,0,0,1,0
"TRAV21_TRAJ40",0,0,0,0,0,2
"TRAV21_TRAJ41",1,0,0,0,0,0
"TRAV21_TRAJ42",0,0,1,0,1,1
"TRAV21_TRAJ43",0,1,0,0,1,0
"TRAV21_TRAJ44",0,2,2,2,1,4
"TRAV21_TRAJ45",0,0,2,0,1,1
"TRAV21_TRAJ47",0,0,0,0,1,1
"TRAV21_TRAJ48",0,4,0,0,0,0
"TRAV21_TRAJ49",0,0,17,3,0,0
"TRAV21_TRAJ5",0,0,0,0,2,0
"TRAV21_TRAJ52",0,0,0,0,1,0
"TRAV21_TRAJ53",0,0,0,0,1,0
"TRAV21_TRAJ57",0,2,0,1,0,0
"TRAV21_TRAJ58",0,6,1,0,5,0
"TRAV21_TRAJ6",0,0,1,0,0,0
"TRAV21_TRAJ8",0,0,0,0,1,0
"TRAV21_TRAJ9",0,6,0,0,1,0
"TRAV22_TRAJ13",0,1,0,0,0,0
"TRAV22_TRAJ21",0,0,0,0,1,0
"TRAV22_TRAJ28",1,0,0,0,1,0
"TRAV22_TRAJ30",0,3,0,0,0,0
"TRAV22_TRAJ33",0,0,0,0,1,0
"TRAV22_TRAJ37",0,0,0,0,2,0
"TRAV22_TRAJ40",0,0,0,1,1,0
"TRAV22_TRAJ43",0,0,5,0,0,0
"TRAV22_TRAJ44",1,0,0,0,1,0
"TRAV22_TRAJ45",0,1,0,0,2,0
"TRAV22_TRAJ52",0,1,1,0,0,0
"TRAV22_TRAJ53",0,0,1,0,0,0
"TRAV22_TRAJ54",0,0,1,0,0,0
"TRAV22_TRAJ7",0,1,0,0,0,0
"TRAV23DV6_TRAJ17",1,0,0,0,1,0
"TRAV23DV6_TRAJ20",0,0,9,1,0,0
"TRAV23DV6_TRAJ24",0,0,0,0,0,1
"TRAV23DV6_TRAJ34",0,0,0,0,0,1
"TRAV23DV6_TRAJ45",0,1,0,0,0,0
"TRAV23DV6_TRAJ49",1,0,0,0,1,0
"TRAV23DV6_TRAJ6",0,1,0,0,0,0
"TRAV23DV6_TRAJ8",1,0,0,0,0,0
"TRAV24_TRAJ10",0,3,0,0,0,0
"TRAV24_TRAJ18",0,0,1,0,0,0
"TRAV24_TRAJ21",0,0,0,0,1,0
"TRAV24_TRAJ24",0,1,0,0,0,0
"TRAV24_TRAJ26",0,0,5,0,1,0
"TRAV24_TRAJ28",0,0,0,0,1,0
"TRAV24_TRAJ3",0,1,0,0,0,0
"TRAV24_TRAJ30",0,3,0,0,0,0
"TRAV24_TRAJ32",1,0,0,0,0,0
"TRAV24_TRAJ34",0,0,0,0,1,0
"TRAV24_TRAJ36",0,0,0,0,1,0
"TRAV24_TRAJ37",1,1,0,0,2,19
"TRAV24_TRAJ39",0,0,1,0,0,0
"TRAV24_TRAJ43",0,0,0,0,0,1
"TRAV24_TRAJ45",0,0,0,0,2,1
"TRAV24_TRAJ47",0,0,9,0,0,0
"TRAV24_TRAJ49",0,0,0,0,1,0
"TRAV24_TRAJ5",0,1,0,0,0,0
"TRAV24_TRAJ52",0,2,0,0,1,0
"TRAV24_TRAJ58",0,1,0,0,0,0
"TRAV24_TRAJ9",0,0,0,0,1,0
"TRAV25_TRAJ20",0,1,0,0,0,0
"TRAV25_TRAJ21",0,0,0,0,1,2
"TRAV25_TRAJ26",0,2,0,0,0,0
"TRAV25_TRAJ27",0,0,1,0,0,0
"TRAV25_TRAJ30",0,1,0,0,0,0
"TRAV25_TRAJ31",0,0,0,0,1,0
"TRAV25_TRAJ32",0,0,2,1,0,0
"TRAV25_TRAJ33",0,1,0,0,0,0
"TRAV25_TRAJ36",0,1,0,0,3,0
"TRAV25_TRAJ37",0,1,0,0,0,0
"TRAV25_TRAJ38",0,0,0,0,1,0
"TRAV25_TRAJ50",1,0,0,0,0,0
